"ID","地名ID","地名","別名","種別","備考"
214,813,"坂田郡","サカタ","郡ヨミ",""
215,814,"札幌郡","サッポロ","郡ヨミ",""
216,815,"薩摩郡","サツマ","郡ヨミ",""
217,816,"三井郡","ミイ","郡ヨミ",""
218,817,"三浦郡","ミウラ","郡ヨミ",""
219,818,"三原郡","ミハラ","郡ヨミ",""
220,819,"三戸郡","サンノヘ","郡ヨミ",""
221,820,"三好郡","ミヨシ","郡ヨミ",""
222,821,"三重郡","ミエ","郡ヨミ",""
223,822,"三石郡","ミツイシ","郡ヨミ",""
224,823,"三池郡","ミイケ","郡ヨミ",""
225,824,"三瀦郡","ミズマ","郡ヨミ",""
226,825,"三島郡","サントウ","郡ヨミ",""
227,825,"三島郡","ミシマ","郡ヨミ",""
228,826,"三方郡","ミカタ","郡ヨミ",""
229,827,"三豊郡","ミトヨ","郡ヨミ",""
230,828,"三養基郡","ミヤキ","郡ヨミ",""
231,829,"山越郡","ヤマコシ","郡ヨミ",""
232,830,"山県郡","ヤマガタ","郡ヨミ",""
233,831,"山香郡","ヤマガ","郡ヨミ",""
234,832,"山田郡","ヤマダ","郡ヨミ",""
235,833,"山武郡","ヤマム","郡ヨミ",""
236,834,"山辺郡","ヤマベ","郡ヨミ",""
237,835,"山北","センボク","郡ヨミ",""
238,836,"山本郡","ヤマモト","郡ヨミ",""
239,837,"山門郡","ヤマト","郡ヨミ",""
240,838,"四谷区","ヨツヤ","郡ヨミ",""
241,839,"市原郡","イチハラ","郡ヨミ",""
242,840,"志太郡","シダ","郡ヨミ",""
243,841,"志田郡","シタ","郡ヨミ",""
244,842,"志摩郡","シマ","郡ヨミ",""
245,843,"枝幸郡","エサシ","郡ヨミ",""
246,844,"糸島郡","チシマ","郡ヨミ",""
247,845,"紫波郡","シワ","郡ヨミ",""
248,846,"児玉郡","コダマグン","郡ヨミ",""
249,847,"児島郡","コジマ","郡ヨミ",""
250,848,"児湯郡","コユ","郡ヨミ",""
251,849,"滋賀郡","シガ","郡ヨミ",""
252,850,"爾志郡","ニシ","郡ヨミ",""
253,851,"鹿角郡","カヅノ","郡ヨミ",""
254,852,"鹿玉郡","アラタマ","郡ヨミ",""
255,853,"鹿児島郡","カゴシマ","郡ヨミ",""
256,854,"鹿足郡","カノアシ","郡ヨミ",""
257,855,"鹿島郡","カシマ","郡ヨミ",""
258,856,"鹿本郡","カモト","郡ヨミ",""
259,857,"宍粟郡","シソウ","郡ヨミ",""
260,858,"室蘭郡","モルラン","郡ヨミ",""
261,859,"柴田郡","シバタ","郡ヨミ",""
262,860,"芝区","シバ","郡ヨミ",""
263,861,"射水郡","イミズ","郡ヨミ",""
264,862,"斜里郡","シヤリ","郡ヨミ",""
265,863,"珠洲郡","す","郡ヨミ",""
266,863,"珠洲郡","スズ","郡ヨミ",""
267,864,"首里","シュリ","郡ヨミ",""
268,865,"寿都郡","スツツ","郡ヨミ",""
269,866,"周吉郡","スキ","郡ヨミ",""
270,867,"周桑郡","シュウソウ","郡ヨミ",""
271,868,"周智郡","スチ","郡ヨミ",""
272,869,"宗像郡","ムナカタ","郡ヨミ",""
273,870,"宗谷郡","ソウヤ","郡ヨミ",""
274,871,"秋鹿郡","アイカ","郡ヨミ",""
275,872,"十勝郡","トカチ","郡ヨミ",""
276,873,"出雲郡","イズモ","郡ヨミ",""
277,874,"出水郡","イズミ","郡ヨミ",""
278,875,"出石郡","イヅシ","郡ヨミ",""
279,876,"駿東郡","スントウ","郡ヨミ",""
280,877,"楯縫郡","タテヌイ","郡ヨミ",""
281,878,"勝浦郡","カツラ","郡ヨミ",""
282,879,"勝田郡","カツタ","郡ヨミ",""
283,880,"小笠郡","ヲガサ","郡ヨミ",""
284,881,"小県郡","チイサガタ","郡ヨミ",""
285,882,"小城郡","オギ","郡ヨミ",""
286,883,"小石川区","コイシカワ","郡ヨミ",""
287,884,"小樽郡","オタル","郡ヨミ",""
288,885,"小田郡","オダ","郡ヨミ",""
289,886,"小豆郡","ショウヅ","郡ヨミ",""
290,887,"松浦郡","マツウラ","郡ヨミ",""
