"ID","地名","属性","形状","緯度","経度","緯度2","経度2","出典","出典詳細","備考"
436,"桃生郡",3,1,,,,,"式内社","郡",
437,"苫田郡",3,1,,,,,"式内社","郡",
438,"敦賀郡",3,1,,,,,"式内社","郡",
439,"那珂郡",3,1,,,,,"式内社","郡",
440,"那賀郡",3,1,,,,,"式内社","郡",
441,"那須郡",3,1,,,,,"式内社","郡",
442,"内郡 ",3,1,,,,,"式内社","郡",
443,"南河内郡",3,1,,,,,"式内社","郡",
444,"南葛城郡",3,1,,,,,"式内社","郡",
445,"南蒲原郡",3,1,,,,,"式内社","郡",
446,"南魚沼郡",3,1,,,,,"式内社","郡",
447,"南多磨郡",3,1,,,,,"式内社","郡",
448,"入間郡",3,1,,,,,"式内社","郡",
449,"能義郡",3,1,,,,,"式内社","郡",
450,"能美郡",3,1,,,,,"式内社","郡",
451,"粕屋郡",3,1,,,,,"式内社","郡",
452,"幡多郡",3,1,,,,,"式内社","郡",
453,"幡豆郡",3,1,,,,,"式内社","郡",
454,"八頭郡",3,1,,,,,"式内社","郡",
455,"板野郡",3,1,,,,,"式内社","郡",
456,"飯石郡",3,1,,,,,"式内社","郡",
457,"飯南郡 ",3,1,,,,,"式内社","郡",
458,"磐井郡",3,1,,,,,"式内社","郡",
459,"磐田郡 ",3,1,,,,,"式内社","郡",
460,"比企郡 ",3,1,,,,,"式内社","郡",
461,"美嚢郡",3,1,,,,,"式内社","郡",
462,"美濃郡",3,1,,,,,"式内社","郡",
463,"美馬郡",3,1,,,,,"式内社","郡",
464,"美方郡",3,1,,,,,"式内社","郡",
465,"氷見郡",3,1,,,,,"式内社","郡",
466,"氷上郡",3,1,,,,,"式内社","郡",
467,"浜名郡  ",3,1,,,,,"式内社","郡",
468,"不破郡",3,1,,,,,"式内社","郡",
469,"不明",3,1,,,,,"式内社","郡",
470,"婦負郡",3,1,,,,,"式内社","郡",
471,"富士郡",3,1,,,,,"式内社","郡",
472,"武庫郡",3,1,,,,,"式内社","郡",
473,"平鹿郡",3,1,,,,,"式内社","郡",
474,"碧海郡",3,1,,,,,"式内社","郡",
475,"宝飯郡",3,1,,,,,"式内社","郡",
476,"芳賀郡",3,1,,,,,"式内社","郡",
477,"豊浦郡",3,1,,,,,"式内社","郡",
478,"豊能郡",3,1,,,,,"式内社","郡",
479,"飽海郡",3,1,,,,,"式内社","郡",
480,"鳳至郡",3,1,,,,,"式内社","郡",
481,"北河内郡",3,1,,,,,"式内社","郡",
482,"北会津郡",3,1,,,,,"式内社","郡",
483,"北葛城郡",3,1,,,,,"式内社","郡",
484,"北蒲原郡",3,1,,,,,"式内社","郡",
485,"北巨麻郡",3,1,,,,,"式内社","郡",
486,"北魚沼郡",3,1,,,,,"式内社","郡",
487,"北埼玉郡",3,1,,,,,"式内社","郡",
488,"北足立郡",3,1,,,,,"式内社","郡",
489,"北多磨郡",3,1,,,,,"式内社","郡",
490,"麻植郡",3,1,,,,,"式内社","郡",
491,"名賀郡 ",3,1,,,,,"式内社","郡",
492,"名取郡",3,1,,,,,"式内社","郡",
493,"名西郡",3,1,,,,,"式内社","郡",
494,"名東郡",3,1,,,,,"式内社","郡",
495,"明石郡",3,1,,,,,"式内社","郡",
496,"木田郡",3,1,,,,,"式内社","郡",
497,"耶麻郡",3,1,,,,,"式内社","郡",
498,"野洲郡",3,1,,,,,"式内社","郡",
499,"揖宿郡",3,1,,,,,"式内社","郡",
500,"揖斐郡",3,1,,,,,"式内社","郡",
501,"揖保郡",3,1,,,,,"式内社","郡",
502,"有田郡",3,1,,,,,"式内社","郡",
503,"有馬郡",3,1,,,,,"式内社","郡",
504,"邑久郡",3,1,,,,,"式内社","郡",
505,"邑智郡",3,1,,,,,"式内社","郡",
506,"与謝郡",3,1,,,,,"式内社","郡",
507,"葉栗郡",3,1,,,,,"式内社","郡",
508,"養父郡",3,1,,,,,"式内社","郡",
509,"養老郡",3,1,,,,,"式内社","郡",
510,"鈴鹿郡",3,1,,,,,"式内社","郡",
